"CrossingID","SubmissionType","ReportBaseId","ParentReportBaseId","CrossingClosed","ReportingAgencyTypeID","ReportingAgencyID","RevisionDate","ReasonID","CrossingIdSuffix","ReportStatus","LastUpdated","Railroad","StateCD","StateName","CntyCD","CountyName","Nearest","CityCD","CityName","Street","BlockNumb","Highway","SepInd","SepRr1","SepRr2","SepRr3","SepRr4","MultFrmsFiLed","SameInd","SameRr1","SameRr2","SameRr3","SameRr4","RrID","Ttstn","TtstnNam","RrMain","XingOwnr","TypeXing","XPurpose","PosXing","OpenPub","TypeTrnSrvcIDs","DevelTypID","XingAdj","XngAdjNo","Whistban","WhistDate","HscoRrid","SfxHscoRrid","Latitude","Longitude","LLsource","RrNarr1","RrNarr2","RrNarr3","RrNarr4","StNarr1","StNarr2","StNarr3","StNarr4","RrNarr","StNarr","PolCont","RrCont","HwyCont","THRRequestNo","CCMQzid","OperatingRailroadCode","OperatingRailroadType","RrDiv","RrSubDiv","Branch","PrfxMilePost","MilePost","SfxMilePost","Lt1PassMov","PassCnt","DayThru","NghtThru","TotalSwt","TotalLtr","Lt1Mov","WeekTrnMov","YearTrnMov","MaxTtSpd","MinSpd","MaxSpd","MainTrk","SidingTrk","YardTrk","TransitTrk","IndustryTrk","OthrTrk","OthrTrkDes","SpselIDs","Sgnleqp","EMonitorDvce","HealthMonitor","NoSigns","XBuck","StopStd","YieldStd","AdvWarn","AdvW10_1","AdvW10_2","AdvW10_3","AdvW10_4","AdvW10_11","AdvW10_12","Low_Grnd","Low_GrndSigns","PaveMrkIDs","Channel","Exempt","EnsSign","OthSgn","OthSgn1","OthDes1","OthSgn2","OthDes2","OthSgn3","OthDes3","PrvxSign","Led","Gates","GatePed","GateConf","GateConfType","FlashOv","FlashNov","CFlashType","FlashPost","FlashPostType","Bkl_FlashPost","Sdl_FlashPost","FlashPai","AwdIDate","AwhornChk","AwhornlDate","HwyTrafSignl","Wigwags","Bells","SpecPro","FlashOth","FlashOthDes","HwynrSig","Intrprmp","PrempType","HwtrfPsig","HwtrfPsigsdis","HwtrfPsiglndis","MonitorDev","WdCode","TraficLn","TraflnType","HwyPved","Downst","Illumina","XSurfDate","XSurfWidth","XSurfLength","XSurfaceIDs","XSurOthr","HwyNear","HwynDist","XAngle","ComPower","HwySys","HwyClassCD","HwyClassrdtpID","StHwy1","HwySpeed","HwySpeedps","LrsRouteid","LrsMilePost","Aadt","AadtYear","PctTruk","SchlBusChk","SchlBsCnt","HazmtVeh","EmrgncySrvc","ReportYear","ReportType"
"667052L","Full Inventory Record","3749690","3694394","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 12:01:00 PM","AM","29","MO","29009","BARRY","1","290092610","EXETER","FR 1065","","county Road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7617380","-93.9108120","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0302.50","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","12","","1","75","3","1","8","0","19","2","","2","","","000015","1982","05","2","","","","2017","Major"
"667025P","Full Inventory Record","5063063","4726304","No","2","11815","7/22/2022 12:00:00 AM","14","AM","Published","7/22/2022 5:30:09 PM","AM","29","MO","29009","BARRY","0","290096540","PURDY","HWY C","","City Street","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.816127","-93.922103","1","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0289.80","","2","2","2","0","0","0","2","","2017","49","35","40","1","0","0","0","0","0","","11,14","2","1","2","1","0","0","0","1","2","","","","","","2","","1","5","","1","2","","","","","","","","","2","2","1","4","0","0","","2","2","1","1","4","102020","2","","2","0","2","0","0","","2","1","","2","0","0","0","8","2","2","1","2","2","","","","14","","N","0","3","1","3","0","18","1","","N","","","001337","1991","20","1","0","","1","2022","Major"
"667024H","Full Inventory Record","4911576","4890451","No","2","11815","8/30/2021 12:00:00 AM","14","AM","Published","8/30/2021 5:30:57 PM","AM","29","MO","29009","BARRY","0","290096540","PURDY","WASHINGTON","","City Street","2","","","","","2","2","","","","","AM","579622","MONETT","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.817425","-93.921990","1","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0290.30","","2","2","2","0","0","0","2","","2017","49","40","45","1","0","0","0","0","0","","11","2","1","2","1","6","0","0","1","2","","","","","","2","","1                               ","5","2","1","2","","","","","","","","","2","","1","4","0","0","","2","2","1","2","4","102020","2","","2","0","6","0","0","","2","1","","2","0","0","0","8","2","2","1","2","2","","","","12","","Y","320","3","1","8","0","19","2","25","N","","","000480","1989","20","1","0","","","2021","Major"
"667068H","Full Inventory Record","3749758","3694687","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:07:00 PM","AM","29","MO","29009","BARRY","1","290097224","SELIGMAN","FR 1062","","farm road","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.8089560","-93.9220810","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0310.67","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","2","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","14","","1","75","2","1","8","0","19","2","","2","","","000030","1989","05","1","2","","","2017","Major"
"667064F","Full Inventory Record","3749751","3694637","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:01:00 PM","AM","29","MO","29009","BARRY","1","290098148","WASHBURN","FR 1050","","farm road","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7905540","-93.9135740","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0308.75","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","1","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","12","","2","","3","2","8","0","19","2","","2","","","000030","1982","05","1","2","","","2017","Major"
"667075T","Full Inventory Record","3749771","3695396","No","1","61","11/13/2017 12:00:00 AM","20","AM","Published","11/13/2017 1:18:00 PM","AM","29","MO","29009","BARRY","0","290097224","SELIGMAN","SH DD","","RTE DD","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11,16","12","2","","0","","-1","","36.520230","-93.939791","1","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0313.05","","1","","2","0","0","0","2","10","2017","35","20","35","1","0","0","0","0","0","","11","2","2","2","1","2","2","0","1","2","","","","","","2","","0","5","2","1","2","","","","","","","","","0","0","","","0","0","","2","2","1","1","4","-1","2","","2","0","1","0","0","","2","1","","2","","","0","7","2","2","1","2","2","","","","14","","1","75","3","1","3","0","18","1","35","1","","","000206","1991","10","1","2","","","2017","Major"
"667055G","Full Inventory Record","3749693","3694399","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 12:08:00 PM","AM","29","MO","29009","BARRY","1","290092610","EXETER","FR 1062","","county Road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7724650","-93.9111790","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0303.70","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","1","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","2","2","2","","","","18","","2","","2","1","8","0","19","2","","2","","","000005","1989","05","2","","","","2017","Major"
"667027D","Full Inventory Record","3749582","3694053","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:02:00 AM","AM","29","MO","29009","BARRY","1","290096540","PURDY","FR 2090","","farm road","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6810460","-93.9343570","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0290.57","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","14","","1","75","3","1","8","0","19","2","","","","","000040","1989","10","1","2","","","2017","Major"
"667021M","Full Inventory Record","3749571","3694049","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 10:45:00 AM","AM","29","MO","29009","BARRY","1","290096540","PURDY","FR 2062","","farm road","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6635970","-93.9448090","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0288.12","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","14","","1","75","3","1","8","0","19","2","","2","","","000015","1982","05","2","","","","2017","Major"
"667067B","Full Inventory Record","3749755","3694673","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:06:00 PM","AM","29","MO","29009","BARRY","1","290097224","SELIGMAN","CO RD 2265","","county Road","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.8057670","-93.9220120","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","SYSTEM","MAIN","","0310.03","","2","0","2","0","0","0","2","10","2017","49","30","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","14","","1","75","3","1","8","0","19","2","","2","","","000015","1982","05","2","","","","2017","Major"
"667063Y","Full Inventory Record","3749750","3694634","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:00:00 PM","AM","29","MO","29009","BARRY","1","290098148","WASHBURN","FR 1060","","farm road","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7898180","-93.9120940","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0307.80","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","1","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","2","2","2","","","","18","","1","200","3","2","8","0","19","2","","","","","000030","1982","05","2","","","","2017","Major"
"667029S","Full Inventory Record","3749587","3694056","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:06:00 AM","AM","29","MO","29009","BARRY","1","290096540","PURDY","FR 1085","","farm road","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6895980","-93.9328460","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0291.57","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","12","","1","200","3","1","8","0","19","2","","2","","","000030","1989","05","1","2","","","2017","Major"
"667034N","Full Inventory Record","3749634","3694062","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:21:00 AM","AM","29","MO","29009","BARRY","1","290091230","BUTTERFIELD","FR 1090 ash street","","City Street","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7122730","-93.9256290","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0294.33","","2","0","2","0","0","0","2","10","2017","49","35","45","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","14","","2","","2","1","8","0","19","2","","","","","000020","1989","05","2","","","","2017","Major"
"667078N","Full Inventory Record","5038016","4903291","No","2","11815","5/11/2022 12:00:00 AM","14","AM","Published","5/11/2022 5:30:21 PM","AM","29","MO","29009","BARRY","1","290097224","SELIGMAN","FR 2295","","PUBLIC","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","16","2","","0","","-1","","36.8286360","-93.9203110","2","","","","","","","","","","","8555037176","4797518600","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0314.50","","2","0","2","0","0","0","2","","2020","35","25","35","1","0","0","0","0","0","","11","2","1","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","2","","1","4","0","0","","2","2","2","2","3","042021","2","","2","0","2","0","1","SIDELIGHTS","2","1","","2","","","0","8","2","2","2","2","2","042021","10","40","14                              ","","1","","3","1","8 ","0","19                              ","2","","2","","","","1982","","2","","","","2022","Major"
"667076A","Full Inventory Record","3749773","2392884","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:21:00 PM","AM","29","MO","29009","BARRY","0","290097224","SELIGMAN","ROLLER RIDGE","","ROller Ridge","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.8233220","-93.9203490","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0313.30","","2","0","2","0","2","0","2","10","2017","35","20","35","1","0","0","0","0","1","SIDING","0","2","2","2","1","2","2","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","1","","","","12","","1","75","3","1","8","0","19","2","","2","","","000150","1989","07","1","2","","","2017","Major"
"667036C","Full Inventory Record","3749640","3694070","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:28:00 AM","AM","29","MO","29009","BARRY","0","290091230","BUTTERFIELD","5TH STREET","","City Street","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.7142030","-93.9235610","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0294.80","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","1","PASS&STORE","0","2","2","2","1","2","2","","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","14","","1","75","3","1","8","0","19","2","","2","","","000500","1982","05","1","2","","","2017","Major"
"667042F","Full Inventory Record","3749657","3694202","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:41:00 AM","AM","29","MO","29009","BARRY","1","290092610","EXETER","CO RD 2150","","county Road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7316780","-93.9126510","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0297.30","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","13","","2","","2","1","8","0","19","2","","2","","","000110","1982","10","2","","","","2017","Major"
"667015J","Full Inventory Record","4681903","3749561","No","2","11815","8/18/2020 12:00:00 AM","14","AM","Published","8/18/2020 5:30:13 PM","AM","29","MO","29009","BARRY","1","290096540","PURDY","SH BB","","BB","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","16                              ","2","","0","","-1","","36.870359","-93.913342","1","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0285.75","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","11","2","2","2","1","2","0","0","1","2","","","","","","2","","1,2","5","2","1","2","","","","","","","","","0","","","","0","0","","2","2","1","1","4","","","","2","0","0","0","0","","2","1                               ","","2","0","0","0","7","2","2","1","2","2","","","","14","","N","0","3","1","3","0","18","1","","N","","","000335","1982","07","1","0","","","2020","Major"
"667072X","Full Inventory Record","3749765","3694730","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:13:00 PM","AM","29","MO","29009","BARRY","0","290097224","SELIGMAN","jefferson street","","City Street","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","12","2","","0","","-1","","36.8193740","-93.9213100","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0312.67","","2","0","2","0","0","0","2","10","2017","49","30","40","1","0","0","0","0","0","","0","2","2","2","1","2","2","0","1","2","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","14","","1","200","3","1","8","0","19","2","","2","","","000075","1989","07","1","2","","","2017","Major"
